Date,Al Rajhi Bank (1120.SR),Saudi Aramco (2222.SR),STC (7010.SR),Gold (GLD),S&P 500 (^GSPC)
2023-07-27,70.55241394042969,27.928272247314453,37.444419860839844,180.4199981689453,4537.41015625
2023-07-28,70.55241394042969,27.928272247314453,37.444419860839844,181.86000061035156,4582.22998046875
2023-07-30,70.1781234741211,27.928272247314453,37.0269775390625,181.86000061035156,4582.22998046875
2023-07-31,69.80384063720703,28.014739990234375,35.39896011352539,182.35000610351562,4588.9599609375
2023-08-01,70.23150634765625,27.885040283203125,34.98151779174805,180.4600067138672,4576.72998046875
2023-08-02,68.42581939697266,27.885040283203125,34.56407928466797,179.60000610351562,4513.39013671875
2023-08-03,67.85560607910156,27.885040283203125,34.64756774902344,179.5399932861328,4501.89013671875
2023-08-04,67.85560607910156,27.885040283203125,34.64756774902344,180.19000244140625,4478.02978515625
2023-08-06,67.66553497314453,27.928272247314453,34.60541534423828,180.19000244140625,4478.02978515625
2023-08-07,67.57048797607422,28.230907440185547,33.72026062011719,179.77999877929688,4518.43994140625
2023-08-08,67.57048797607422,28.576765060424805,33.88886642456055,178.63999938964844,4499.3798828125
2023-08-09,68.52084350585938,28.663230895996094,34.18391418457031,177.7899932861328,4467.7099609375
2023-08-10,68.42581939697266,29.3981876373291,34.90047073364258,177.60000610351562,4468.830078125
2023-08-11,68.42581939697266,29.3981876373291,34.90047073364258,177.60000610351562,4464.0498046875
2023-08-13,69.09105682373047,29.873741149902344,35.02692413330078,177.60000610351562,4464.0498046875
2023-08-14,68.99603271484375,29.916975021362305,34.984771728515625,177.05999755859375,4489.72021484375
2023-08-15,68.99603271484375,29.744043350219727,34.3946647644043,176.58999633789062,4437.85986328125
2023-08-16,68.71092987060547,29.787277221679688,34.18391418457031,175.57000732421875,4404.330078125
2023-08-17,69.37617492675781,30.30607032775879,34.26822280883789,175.3000030517578,4370.35986328125
2023-08-18,69.37617492675781,30.30607032775879,34.26822280883789,175.3300018310547,4369.7099609375
2023-08-20,69.4712142944336,30.262828826904297,34.352516174316406,175.3300018310547,4369.7099609375
2023-08-21,68.9010009765625,29.787277221679688,33.88886642456055,175.80999755859375,4399.77001953125
2023-08-22,69.09105682373047,29.744043350219727,34.09961700439453,176.10000610351562,4387.5498046875
2023-08-23,68.9010009765625,29.83051109313965,33.72026062011719,177.88999938964844,4436.009765625
2023-08-24,68.71092987060547,29.960208892822266,33.63595962524414,177.85000610351562,4376.31005859375
2023-08-25,68.71092987060547,29.960208892822266,33.63595962524414,177.6199951171875,4405.7099609375
2023-08-27,68.9010009765625,30.08990478515625,33.93101501464844,177.6199951171875,4405.7099609375
2023-08-28,68.71092987060547,29.873741149902344,33.97315979003906,178.1300048828125,4433.31005859375
2023-08-29,68.80596160888672,29.484643936157227,33.76240921020508,179.8699951171875,4497.6298828125
2023-08-30,68.9010009765625,30.133136749267578,34.01530456542969,180.32000732421875,4514.8701171875
2023-08-31,68.61588287353516,30.176376342773438,33.55166244506836,180.02000427246094,4507.66015625
2023-09-01,68.61588287353516,30.176376342773438,33.55166244506836,180.11000061035156,4515.77001953125
2023-09-03,68.61588287353516,29.787277221679688,33.63595962524414,180.11000061035156,4515.77001953125
2023-09-04,68.3307876586914,29.65757942199707,32.83510208129883,180.11000061035156,4515.77001953125
2023-09-05,68.52084350585938,29.484643936157227,33.340904235839844,178.63999938964844,4496.830078125
2023-09-06,68.3307876586914,29.3981876373291,32.62435531616211,177.8300018310547,4465.47998046875
2023-09-07,67.28539276123047,29.527883529663086,32.961551666259766,178.02000427246094,4451.14013671875
2023-09-08,67.28539276123047,29.527883529663086,32.961551666259766,178.0800018310547,4457.490234375
2023-09-10,67.28539276123047,29.354949951171875,32.961551666259766,178.0800018310547,4457.490234375
2023-09-11,67.28539276123047,29.62260627746582,33.46736526489258,178.41000366210938,4487.4599609375
